eval,dataset,model,AUC_cal,Brier_cal
train_calce_no_soh,oxford,lightgbm,0.507,0.753
train_calce_no_soh,oxford,random_forest,0.539,0.717
train_calce_no_soh,oxford,xgboost,0.513,0.748
train_calce_with_soh,oxford,lightgbm,0.795,0.714
train_calce_with_soh,oxford,random_forest,0.741,0.683
train_calce_with_soh,oxford,xgboost,0.857,0.707
train_nasa+calce_no_soh,oxford,lightgbm,0.51,0.749
train_nasa+calce_no_soh,oxford,random_forest,0.552,0.621
train_nasa+calce_no_soh,oxford,xgboost,0.555,0.438
train_nasa+calce_with_soh,oxford,lightgbm,0.84,0.67
train_nasa+calce_with_soh,oxford,random_forest,0.98,0.319
train_nasa+calce_with_soh,oxford,xgboost,0.965,0.381
train_nasa_no_soh,oxford,lightgbm,0.541,0.368
train_nasa_no_soh,oxford,random_forest,0.539,0.479
train_nasa_no_soh,oxford,xgboost,0.515,0.208
train_nasa_with_soh,oxford,lightgbm,0.99,0.292
train_nasa_with_soh,oxford,random_forest,0.985,0.251
train_nasa_with_soh,oxford,xgboost,0.949,0.243
within,calce,lightgbm,0.923,0.065
within,calce,random_forest,0.894,0.077
within,calce,xgboost,0.916,0.065
within,nasa,lightgbm,0.888,0.19
within,nasa,random_forest,0.865,0.205
within,nasa,xgboost,0.887,0.193
